,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
68,752303689874069841,https://www.airbnb.com/rooms/752303689874069841,20240905174946,2024-09-06,previous scrape,Nice accomadation for youngs and travelers,"One room for travelers passing by Amsterdam. Room has a double sized bed. Suitable for couples or singles. We will be sharing common areas like kitchen, bathroom and living room. There are washing machine, dryer, microwave oven and other common furnitures",,https://a0.muscache.com/pictures/miso/Hosting-752303689874069841/original/ad7586bc-ba92-4dfe-94d6-e89b931e3753.jpeg,409848424,https://www.airbnb.com/users/show/409848424,Adem,2021-06-29,"Amsterdam, Netherlands",,within a day,70%,11%,f,https://a0.muscache.com/im/pictures/user/User-409848424/original/28e578f2-23cd-4dbc-b164-ae48b5db43ec.png?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-409848424/original/28e578f2-23cd-4dbc-b164-ae48b5db43ec.png?aki_policy=profile_x_medium,,1,3,"['email', 'phone']",t,t,,De Pijp - Rivierenbuurt,,52.34272410675909,4.903886765241624,Private room in rental unit,Private room,2,,1 shared bath,,,"[""Smoke alarm"", ""Washer"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Wifi"", ""Kitchen""]",,1,30,1.0,1.0,30.0,30.0,1.0,30.0,,t,23,51,81,81,2024-09-06,2,2,0,2023-12-10,2024-01-01,5.0,5.0,5.0,5.0,5.0,4.5,4.5,03630F3D14CE072893D5,f,1,0,1,0,0.22
73,19444004,https://www.airbnb.com/rooms/19444004,20240905174946,2024-09-06,previous scrape,"Nice home for family ,  free parking",After a day hustle and bustle in the centre you will enjoy our great family house ( 4 persons) in calm area in the Nord with a beautiful green garden full with flowers in the summer. Sit relax in the lounge corner or enjoy a meal at the outside dinner. <br /><br />With free parking. <br /><br />It's +/- 15 minutes  with a total new public transport to central station (the centre of Amsterdam).<br /><br />Registratienummer: 0363 902A FC2A EE88 13CA,"The North side of Amsterdam is now one of the most popular areas of the city. Still many calm area's, mixed with many new hotspots, restaurants, festival areas like Adam tower, Eye film museum. Our house is close to NDSM area with many hip restaurants (along  the IJ river) and festivals.",https://a0.muscache.com/pictures/hosting/Hosting-19444004/original/4eeab138-901f-41f1-b6cc-5e485c709c59.jpeg,136336188,https://www.airbnb.com/users/show/136336188,Esther,2017-06-22,"Amsterdam, Netherlands","Hallo we are Esther and Jeroen, together with our two children Pepijn 18 years and Lieve 15 years. We live in this great area in the Northern part of Amsterdam. We are exciting to rent out our lovely house.
In the past we lived in a small village, when we moved to Amsterdam we searched a house with nature surround and the facilities of a city. And that is the North of Amsterdam.
We love to walk and run in the nature. 
When we go on vacation then we travel with our caravan to France and Spain. The climate, the culture, the small village, the food and off course the sea is what we love when we are on vacation. ",within a day,100%,100%,f,https://a0.muscache.com/im/pictures/user/User-136336188/original/eaf00e0e-0df0-4d0b-ad77-6a7b851cbc12.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-136336188/original/eaf00e0e-0df0-4d0b-ad77-6a7b851cbc12.jpeg?aki_policy=profile_x_medium,Kadoelen,1,1,"['email', 'phone']",t,t,"Amsterdam, Noord-Holland, Netherlands",Noord-West,,52.41833,4.90286,Entire home,Entire home/apt,4,,1.5 baths,3.0,,"[""Dishes and silverware"", ""Free washer \u2013 In unit"", ""Private backyard \u2013 Fully fenced"", ""Dedicated workspace"", ""Coffee maker"", ""Outdoor furniture"", ""Cooking basics"", ""Carbon monoxide alarm"", ""HDTV with premium cable"", ""BBQ grill"", ""Hot water"", ""Pocket wifi"", ""Smoke alarm"", ""Stove"", ""Iron"", ""Microwave"", ""Refrigerator"", ""Host greets you"", ""Oven"", ""Free dryer \u2013 In unit"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Fast wifi \u2013 526 Mbps"", ""Dishwasher"", ""Hangers"", ""Essentials"", ""Free street parking"", ""Heating"", ""Fire pit"", ""Long term stays allowed"", ""Room-darkening shades"", ""Shampoo"", ""Private entrance"", ""Kitchen"", ""Bed linens""]",,1,30,1.0,1.0,30.0,30.0,1.0,30.0,,t,0,0,0,0,2024-09-06,37,6,4,2017-07-26,2024-08-22,4.65,4.89,4.92,4.85,4.78,4.15,4.47,0363 12DA 0D17 1835 BD6E,f,1,1,0,0,0.43
81,21825799,https://www.airbnb.com/rooms/21825799,20240905174946,2024-09-06,previous scrape,Family house in Amsterdam near Twiske (with bikes),this nice and beautiful house is in the Northern part of Amsterdam. <br />Easy to reach from the airport with Public Transfer. The old center of Amsterdam is 20 minutes by Public Transfer.,"The house is close to The national Parc het Twiske.<br />NDSM Werf, Volendam, Zaanse Schans, the center of Amsterdam.",https://a0.muscache.com/pictures/8c79798b-7ede-4624-9a63-8ebc4790f2cf.jpg,159108573,https://www.airbnb.com/users/show/159108573,Gert,2017-11-17,"Amsterdam, Netherlands","I'm Gert (57),  father of 2 daughters Noor (16) and Maud(13). Former owner of Airbnb account ""Amsterdam privat spacious room NDSM"". I'm a Teacher IT and volunteer at the Amsterdam Fire-department.",within a day,100%,78%,t,https://a0.muscache.com/im/pictures/user/User-159108573/original/aab58f36-196e-4567-8503-4531d40da47f.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-159108573/original/aab58f36-196e-4567-8503-4531d40da47f.jpeg?aki_policy=profile_x_medium,,3,4,"['email', 'phone']",t,t,"Amsterdam, North Holland, Netherlands",Noord-West,,52.41786,4.88603,Entire townhouse,Entire home/apt,4,,1.5 baths,2.0,,"[""Dishes and silverware"", ""Shower gel"", ""Garden view"", ""Coffee"", ""Barbecue utensils"", ""Body soap"", ""Private backyard \u2013 Fully fenced"", ""Washer"", ""Private patio or balcony"", ""Coffee maker"", ""Outdoor furniture"", ""42 inch HDTV with Chromecast, Netflix"", ""Cooking basics"", ""Carbon monoxide alarm"", ""First aid kit"", ""Hot water"", ""Stainless steel oven"", ""Pocket wifi"", ""Waterfront"", ""Smoke alarm"", ""Stove"", ""Iron"", ""Lockbox"", ""Cleaning products"", ""Blender"", ""Microwave"", ""Refrigerator"", ""Wine glasses"", ""Extra pillows and blankets"", ""BBQ grill: charcoal"", ""Park view"", ""Bluetooth sound system"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Self check-in"", ""Conditioner"", ""Wifi"", ""Dryer"", ""Dishwasher"", ""Hot water kettle"", ""Hangers"", ""Dining table"", ""Essentials"", ""Free street parking"", ""Heating"", ""Children\u2019s dinnerware"", ""Board games"", ""Outdoor dining area"", ""Freezer"", ""Room-darkening shades"", ""Shampoo"", ""Fire extinguisher"", ""Private entrance"", ""Kitchen"", ""Bed linens"", ""Baking sheet""]",,4,1125,4.0,4.0,1125.0,1125.0,4.0,1125.0,,t,0,0,0,0,2024-09-06,33,2,2,2018-06-03,2024-08-15,4.58,4.64,4.21,4.61,4.76,4.55,4.48,0363 7A21 D26B 8AD8 1AEE,f,3,1,2,0,0.43
96,34936516,https://www.airbnb.com/rooms/34936516,20240905174946,2024-09-06,previous scrape,Ground floor apartment near Vondelpark with garden,"Smart 95m2 ground floor apartment close to Vondelpark and city centre. Completely renovated and redecorated in 2017 with a nice city garden to have dinner or relax in.  Many restaurants, shops and cafes just round the corner, just as public transport to city centre, airport or museum quarter. Vondelpark is a 5min walk. No smoking or pets allowed. Nice apartment, especially suitable for a couple with 2 older children.","Enjoy your breakfast or lunch at Vlaams Broodhuys on the corner or at Lavinia or Anne&Max around the other corner! Or take away and eat them on our bench in front of the house and see the world go by. In the evening the Main Street (Amstelveenseweg) has many excellent restaurants to offer like Dragon I or Blauw . Maybe you’ll prefer the high quality Ron gastrobar or queuing up with the locals for a Indonesian take away. If you want to eat at home a supermarket, fish shop, butcher and other shops are within 50 meters.<br />The Vondelpark is 200 m away. Locals lounge, play and walk in it. You could walk to the museums, the smart area round Cornelis Schuytstraat or city centre, but you can also catch tram 2 which has a stops next to these locations and ends at the central train station.",https://a0.muscache.com/pictures/c3d34af1-5ad9-46ef-8291-27be1afc8ed6.jpg,227579844,https://www.airbnb.com/users/show/227579844,Thorkell,2018-11-26,"Amsterdam, Netherlands","Hi, my name is Thorkell and together with my wife Anouk, we live here in our apartment since 2017. I am a trainer / coach in personal development and my wife is an actress. 
We felt in love for this apartment because of the space and the light. In our apartment you will experience the quietness and if you step out the front door you will experience the lovely city area old south Amsterdam.
I am looking forward to meet you and give you some more tips to have a wonderful stay in our house and city.",within a day,100%,40%,f,https://a0.muscache.com/im/pictures/user/4159263f-ed34-4150-bebe-9575d5ba48cf.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4159263f-ed34-4150-bebe-9575d5ba48cf.jpg?aki_policy=profile_x_medium,Oud-Zuid,1,1,"['email', 'phone', 'work_email']",t,t,"Amsterdam, Noord-Holland, Netherlands",Zuid,,52.35373,4.85667,Entire rental unit,Entire home/apt,4,,1.5 baths,2.0,,"[""Dishes and silverware"", ""Free washer \u2013 In unit"", ""Private backyard \u2013 Fully fenced"", ""32 inch HDTV with Netflix"", ""Coffee maker"", ""Outdoor furniture"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Hot water"", ""Smoke alarm"", ""Lockbox"", ""Refrigerator"", ""Oven"", ""Free dryer \u2013 In unit"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Hangers"", ""Essentials"", ""Heating"", ""Outdoor dining area"", ""First aid kit"", ""Fire extinguisher"", ""Private entrance"", ""Kitchen"", ""Gas stove""]",,4,7,4.0,4.0,7.0,7.0,4.0,7.0,,t,0,4,4,4,2024-09-06,11,5,3,2019-07-26,2024-08-24,4.91,5.0,4.73,5.0,5.0,4.82,4.91,0363 BD44 EEB9 5EBE 0862,f,1,1,0,0,0.18
99,53756549,https://www.airbnb.com/rooms/53756549,20240905174946,2024-09-05,city scrape,Stylish modern two bedroom ground floor apartment,"Kick back and relax in this calm, stylish space.",,https://a0.muscache.com/pictures/miso/Hosting-53756549/original/2f25c169-3468-4f5a-a1af-748a9f9d1d7b.jpeg,226624896,https://www.airbnb.com/users/show/226624896,Maurits,2018-11-20,"Amsterdam, Netherlands",,within a day,50%,25%,f,https://a0.muscache.com/im/pictures/user/9f90f758-b592-4718-ade4-ff86d495fec0.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/9f90f758-b592-4718-ade4-ff86d495fec0.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,De Pijp - Rivierenbuurt,,52.34191,4.90955,Entire serviced apartment,Entire home/apt,4,1.5,1.5 baths,2.0,2.0,"[""Crib - available upon request"", ""Dishes and silverware"", ""Toaster"", ""Coffee"", ""Free washer \u2013 In unit"", ""Barbecue utensils"", ""Private backyard \u2013 Fully fenced"", ""Central heating"", ""Portable fans"", ""Dedicated workspace"", ""Private patio or balcony"", ""Kitchen"", ""Outdoor furniture"", ""Exterior security cameras on property"", ""Pets allowed"", ""Cooking basics"", ""Carbon monoxide alarm"", ""BBQ grill"", ""Hot water"", ""Smoke alarm"", ""Iron"", ""Drying rack for clothing"", ""Cleaning products"", ""Blender"", ""Clothing storage: closet"", ""Microwave"", ""Coffee maker: espresso machine"", ""Wine glasses"", ""Bathtub"", ""Extra pillows and blankets"", ""Single level home"", ""60 inch HDTV with Chromecast, HBO Max, premium cable, Netflix, Amazon Prime Video, Disney+, Apple TV"", ""Host greets you"", ""Sonos  Bluetooth sound system"", ""Paid street parking off premises"", ""Luggage dropoff allowed"", ""Game console: PS4"", ""Free dryer \u2013 In unit"", ""Exercise equipment"", ""Hair dryer"", ""Siemens gas stove"", ""Wifi"", ""Cleaning available during stay"", ""Dishwasher"", ""Hot water kettle"", ""Hangers"", ""Dining table"", ""Essentials"", ""Pack \u2019n play/Travel crib"", ""Board games"", ""Long term stays allowed"", ""Outdoor dining area"", ""Siemens refrigerator"", ""Freezer"", ""First aid kit"", ""Siemens oven"", ""Laundromat nearby"", ""Fire extinguisher"", ""High chair"", ""Bed linens"", ""Baking sheet""]",$375.00,4,1125,4.0,4.0,1125.0,1125.0,4.0,1125.0,,t,19,37,67,342,2024-09-05,11,5,0,2023-04-07,2024-07-24,5.0,5.0,4.91,5.0,5.0,4.64,4.91,0363 473D 040A E6B5 B887,f,1,1,0,0,0.64
111,886658529197518651,https://www.airbnb.com/rooms/886658529197518651,20240905174946,2024-09-06,previous scrape,Roofterrace in luxurious part,"Enjoy a glass of rosé on the roof terrace where the sun shines from early in the morning until after dinner or entertain in the large open kitchen with view on the most beautiful avenue of Amsterdam.<br /><br />In addition to the fine shops and bars in the Maasstraat, the famous Pijp is a 5-minute walk away. Vondelpark and the museum quarter are a 10-minute walk away.<br /><br />Due to its great location, the apartment is easily accessible by train from Schiphol to Rai station as well as by metro and tram.",,https://a0.muscache.com/pictures/miso/Hosting-886658529197518651/original/b884ef2b-6166-4197-84a9-fbc569cd0f09.jpeg,138171259,https://www.airbnb.com/users/show/138171259,Reinier,2017-07-02,,"I enjoy being outside (gardening or walk through the park), cooking (mainly outdoor bbq) and playing golf",within a day,75%,39%,f,https://a0.muscache.com/im/pictures/user/User-138171259/original/7fa1cadd-2216-4fae-b8c9-eb83cdcfac9d.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-138171259/original/7fa1cadd-2216-4fae-b8c9-eb83cdcfac9d.jpeg?aki_policy=profile_x_medium,,1,1,['phone'],t,t,,De Pijp - Rivierenbuurt,,52.3464465,4.8981105,Entire rental unit,Entire home/apt,4,,2.5 baths,2.0,,"[""Hangers"", ""Free washer \u2013 In unit"", ""Essentials"", ""Iron"", ""Lockbox"", ""Central heating"", ""TV"", ""Dedicated workspace"", ""Free dryer \u2013 In unit"", ""Outdoor dining area"", ""Self check-in"", ""Carbon monoxide alarm"", ""BBQ grill"", ""Wifi"", ""Bathtub"", ""Kitchen"", ""Bed linens"", ""Hot water""]",,3,14,3.0,3.0,14.0,14.0,3.0,14.0,,t,17,44,74,164,2024-09-06,11,5,0,2023-05-21,2024-06-10,4.64,4.55,4.64,4.82,4.82,4.82,4.45,0363 795A E425 9AA3 C4DE,f,1,1,0,0,0.69
118,23219350,https://www.airbnb.com/rooms/23219350,20240905174946,2024-09-05,city scrape,Cozy home & rooftop near center (6 adults& 2 kids),"Cozy apartment on the top floor of a typical late 1800s building in Amsterdam's lively neighborhood De Pijp, overlooking the beautiful Sarphatipark. Quiet, light, and very private for this area's standards because of its location, with a rooftop terrace. Beware of the STEEP stairs, though - my place is very comfy once inside, but you need to be rather fit and brave to haul your luggage upstairs. Also, note that Dutch houses were not built for hot weather and typically have no A/C.","De Pijp is one of Amsterdam's hippest neighborhoods, with the highest density of stops, bars, and restaurants per square meter, plus the largest permanent street market right around the corner. You really don't have to leave the neighborhood; I seldom do. However, if you must visit Amsterdam's touristy highlights, they are all within reach. You can walk, bike or use public transport to any of them within 20 minutes.",https://a0.muscache.com/pictures/294945c4-7103-46de-90ef-b0b0dd6fb21f.jpg,6973542,https://www.airbnb.com/users/show/6973542,Stefanie,2013-06-18,"Amsterdam, Netherlands","Born and raised in Amsterdam, I set out to explore the world at a young age. Over the past four decades I have traveled to over thirty countries, and have lived in three of those. Currently, I am back at my habitat Amsterdam, where I am working as a self-employed co-creator (thecocreatorscom) and raising my three sons (13, 9, and 3 years old). Since 2021 I am also the co-ordinator of Wijkcentrum De Pijp, helping people improve our hood.",within a day,70%,75%,t,https://a0.muscache.com/im/pictures/user/620b08fe-0b1d-41d0-b4a8-7c79aee6068e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/620b08fe-0b1d-41d0-b4a8-7c79aee6068e.jpg?aki_policy=profile_x_medium,De Pijp,1,1,"['email', 'phone', 'work_email']",t,t,"Amsterdam, Noord-Holland, Netherlands",De Pijp - Rivierenbuurt,,52.355507250063525,4.897487207923278,Entire rental unit,Entire home/apt,6,2.0,2 baths,2.0,2.0,"[""Dishes and silverware"", ""Washer"", ""Coffee maker"", ""Patio or balcony"", ""Outdoor furniture"", ""Cooking basics"", ""50 inch HDTV with Chromecast"", ""Hot water"", ""Smoke alarm"", ""Stove"", ""Lockbox"", ""Refrigerator"", ""Extra pillows and blankets"", ""Park view"", ""Oven"", ""Luggage dropoff allowed"", ""Children\u2019s books and toys"", ""Self check-in"", ""Wifi"", ""Dryer"", ""Dishwasher"", ""Hangers"", ""Essentials"", ""Heating"", ""Pack \u2019n play/Travel crib"", ""Shampoo"", ""Fire extinguisher"", ""Kitchen"", ""Bed linens""]",$264.00,4,1125,1.0,4.0,1125.0,1125.0,2.7,1125.0,,t,5,14,22,37,2024-09-05,29,16,1,2018-05-05,2024-08-18,4.83,4.79,4.79,4.9,4.97,4.93,4.55,0363 7A44 344B 08D9 E8D9,f,1,1,0,0,0.38
125,769183005883873444,https://www.airbnb.com/rooms/769183005883873444,20240905174946,2024-09-05,city scrape,"Nice family house at the canal, no groups accepted","We live in a lovely house in Amsterdam North, a highly desirable and trendy area of the city. Its prime location is close to the city center and popular neighborhoods like NDSM, as well as restaurants, parks, and a cinema.<br /><br />The house spans three floors and features three spacious bedrooms. It's particularly well-suited for families with children, to make them feel at home.<br /><br />At the top of the house, there's a terrace offering fantastic views. Please note, we do not accept groups.",,https://a0.muscache.com/pictures/miso/Hosting-769183005883873444/original/99cfe27b-5aa3-4572-be5a-c2d3582af04f.jpeg,21451385,https://www.airbnb.com/users/show/21451385,Itziar,2014-09-17,"Amsterdam, Netherlands",,within a day,75%,100%,f,https://a0.muscache.com/im/users/21451385/profile_pic/1410982967/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/21451385/profile_pic/1410982967/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Oud-Noord,,52.3922806,4.9069311,Entire home,Entire home/apt,5,2.5,2.5 baths,3.0,3.0,"[""Dishes and silverware"", ""Boat slip"", ""Central heating"", ""Washer"", ""Dedicated workspace"", ""Private patio or balcony"", ""Outdoor furniture"", ""Cooking basics"", ""Miele stainless steel oven"", ""BBQ grill"", ""Hot water"", ""Smoke alarm"", ""Drying rack for clothing"", ""Cleaning products"", ""Radiant heating"", ""Exercise equipment: yoga mat"", ""Microwave"", ""Refrigerator"", ""Canal view"", ""Free parking on premises"", ""Bathtub"", ""Kayak"", ""Free dryer \u2013 In unit"", ""Hair dryer"", ""Wifi"", ""Dishwasher"", ""Hot water kettle"", ""Dining table"", ""Essentials"", ""Books and reading material"", ""TV"", ""Arcade games"", ""Outdoor dining area"", ""Freezer"", ""Private entrance"", ""Kitchen"", ""Bed linens""]",$389.00,5,31,5.0,5.0,31.0,31.0,5.0,31.0,,t,18,18,18,18,2024-09-05,1,1,1,2024-08-13,2024-08-13,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0363 7257 B5CB 6F0C 207C,f,1,1,0,0,1.0
131,1156428253483810137,https://www.airbnb.com/rooms/1156428253483810137,20240905174946,2024-09-05,city scrape,Cute ground floor house Jordaan,"This ground floor house in the Jordaan (central of Amsterdam) is located in a quite little cute street overlooking the canal. It has a big kitchen with dining table, living room, separate bedroom with good bed, bathroom and an outside in front of the house.",,https://a0.muscache.com/pictures/hosting/Hosting-1156428253483810137/original/08fbb86c-49fa-4efc-a684-5eb8b96b0ddb.jpeg,103181523,https://www.airbnb.com/users/show/103181523,Janneke,2016-11-10,"Amsterdam, Netherlands",,within a day,70%,23%,f,https://a0.muscache.com/im/pictures/user/User-103181523/original/db9c0c04-6275-44e4-b9c6-118b855c0dad.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-103181523/original/db9c0c04-6275-44e4-b9c6-118b855c0dad.jpeg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Centrum-West,,52.3743573228392,4.877786709626896,Entire home,Entire home/apt,2,1.0,1 bath,1.0,0.0,"[""Paid parking on premises"", ""Smoke alarm"", ""Washer"", ""TV"", ""Outdoor dining area"", ""Carbon monoxide alarm"", ""Wifi"", ""Kitchen""]",$200.00,1,365,1.0,1.0,365.0,365.0,1.0,365.0,,t,2,16,16,39,2024-09-05,0,0,0,,,,,,,,,,0363D353C58F7C50546D,f,1,1,0,0,
138,1204529963490988382,https://www.airbnb.com/rooms/1204529963490988382,20240905174946,2024-09-05,city scrape,Studio in Amsterdam-West,"This studio offers a quiet place to stay. It's the perfect location to explore Amsterdam.<br />This studio is fully equipped and offers all the amenities you might need for a stay. Close to the city centre, and with plenty of shops, great restaurants and local bars.<br />There is a double sofa bed and a double bed, kitchen and bathroom with shower & toilet.<br />License: Z/24/2406964.U",,https://a0.muscache.com/pictures/miso/Hosting-1204529963490988382/original/4bbca8c5-346c-4562-a031-18a308dffe08.jpeg,224030754,https://www.airbnb.com/users/show/224030754,Ilia Yuryevich,2018-11-03,"Amsterdam, Netherlands",,within a day,100%,92%,f,https://a0.muscache.com/im/pictures/user/a5320ff6-8b6f-4f9f-84bb-bf174d4469aa.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/a5320ff6-8b6f-4f9f-84bb-bf174d4469aa.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Bos en Lommer,,52.37595885982629,4.843579498223195,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,"[""Paid parking on premises"", ""Smoke alarm"", ""Washer"", ""Exterior security cameras on property"", ""Wifi"", ""Kitchen""]",$149.00,2,8,2.0,2.0,8.0,8.0,2.0,8.0,,t,12,23,47,47,2024-09-05,1,1,1,2024-08-25,2024-08-25,5.0,5.0,4.0,5.0,5.0,4.0,5.0,0363 0F95 E585 FE4E DC9C,f,1,1,0,0,1.0
