,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
4,8191077,https://www.airbnb.com/rooms/8191077,20240905174946,2024-09-05,previous scrape,Old bar apartment,"This just renovated apartment for 6 persons is located in het centre of Amsterdam.And is situated at the ground floor.This means no unconfortable stairs!You can easily walk in 5 minutes to Rembrand square,and in 5 min to the famous Albert Cuyp market","Our apartment is situated in the centre of Amsterdam. It's next to the cosy Utrechtsestraat where lots of bars, reataurants and local shop owners are located and you can experience the real Amsterdam city life. Within a 7 minute walk you can also enjoy the daily famous Albeet Cuyp market where you can get typical Dutch treats, souvenirs and clothing.",https://a0.muscache.com/pictures/miso/Hosting-8191077/original/b5472dd3-def4-443f-8015-0df617bee401.jpeg,43205475,https://www.airbnb.com/users/show/43205475,Thomas,2015-09-02,,"Ik ben Thomas en ben 35 jaar oud en kom uit Amsterdam
 ",within a few hours,100%,86%,f,https://a0.muscache.com/im/pictures/user/959b5d00-ae12-4869-9e61-21d2c40e09de.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/959b5d00-ae12-4869-9e61-21d2c40e09de.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Amsterdam, Noord-Holland, Netherlands",Centrum-Oost,,52.36047,4.90124,Room in boutique hotel,Private room,6,,1 bath,1.0,,"[""Smoke alarm"", ""Hangers"", ""Essentials"", ""Iron"", ""Heating"", ""Hair dryer"", ""Shampoo"", ""Wifi"", ""Fire extinguisher"", ""TV with standard cable""]",,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,t,6,18,48,191,2024-09-05,251,53,2,2016-02-17,2024-08-20,4.61,4.65,4.56,4.86,4.79,4.83,4.45,Exempt,f,1,0,1,0,2.41
38,867848322717146229,https://www.airbnb.com/rooms/867848322717146229,20240905174946,2024-09-05,city scrape,Beautiful Amsterdam family home,"Unique and very comfortable 3 bedroom family home on one of the most special streets in Amsterdam. Situated on an old dike, surrounded by nature and with the ease of the city at your fingertips.<br /><br />Enjoy a side of Amsterdam you've never seen before. With friends or with your family: quality time guaranteed. Whether you want to go for long walks or enjoy hip & happening restaurants & bars. Anything goes. Suitable for 6 adults and 2 kids",,https://a0.muscache.com/pictures/miso/Hosting-867848322717146229/original/93ba28ed-b2a7-48e3-9551-61de5755c963.jpeg,3408466,https://www.airbnb.com/users/show/3408466,Valentine,2012-08-29,"Amsterdam, Netherlands","Hello!

My name is Valentine and together with my partner Coen and our 3 year old son Louis, we live in the most beautiful, greenest part of Amsterdam (Noord). Surrounded by water and nature and with the city centre very close by, we believe we have best of both worlds. Our house is 125M2, fully equipped, with a small garden, balcony, and a nice sitting area at the front of the house. Families with children are welcome! We hope to see you soon!",within a few hours,100%,71%,f,https://a0.muscache.com/im/users/3408466/profile_pic/1377524723/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3408466/profile_pic/1377524723/original.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,,Oud-Noord,,52.38829559566977,4.948099214561649,Entire home,Entire home/apt,8,2.0,2 baths,3.0,3.0,"[""Dishes and silverware"", ""Washer"", ""Dedicated workspace"", ""Private patio or balcony"", ""Coffee maker"", ""Outdoor furniture"", ""Smoke alarm"", ""Refrigerator"", ""Free parking on premises"", ""Lake access"", ""Park view"", ""High chair"", ""Children\u2019s books and toys"", ""Wifi"", ""Dryer"", ""Air conditioning"", ""Backyard"", ""TV"", ""Outdoor dining area"", ""First aid kit"", ""Kitchen""]",$250.00,4,18,4.0,6.0,18.0,18.0,4.1,18.0,,t,13,13,13,30,2024-09-05,4,2,0,2023-05-15,2024-07-09,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0363 63F5 5888 FA07 31CA,f,1,1,0,0,0.25
42,805330,https://www.airbnb.com/rooms/805330,20240905174946,2024-09-05,previous scrape,Sunny & Bright 3 bed apt with Roof terrace,"This sunny, spacious,  trendy and clean 123m2  apartment is in the heart of the 'River Neighborhood (the old Jewish quarters)'. It is the perfect place for 2 couples or a family to enjoy the beautiful city of Amsterdam!",,https://a0.muscache.com/pictures/11720707/ab5268f2_original.jpg,4239235,https://www.airbnb.com/users/show/4239235,Felice,2012-11-25,"Amsterdam, Netherlands","A bit about me, I love working hard and filling up my free time with good food (both cooking & eating), visiting new places, and enjoying precious time with friends and family. My Spanish partner and I have 2 wonderful kids, a 3 yr old girl and 4 month old boy. I work in e-commerce and think this site is a great example of one of many amazing online platforms that bring nice people together. 
 
",,,,f,https://a0.muscache.com/im/users/4239235/profile_pic/1444164792/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/4239235/profile_pic/1444164792/original.jpg?aki_policy=profile_x_medium,Rivierenbuurt,1,5,"['email', 'phone']",t,t,,De Pijp - Rivierenbuurt,,52.34725,4.89341,Entire rental unit,Entire home/apt,6,,1.5 baths,2.0,,"[""Washer"", ""Dedicated workspace"", ""Kitchen"", ""Outdoor furniture"", ""Carbon monoxide alarm"", ""BBQ grill"", ""TV with standard cable"", ""Smoke alarm"", ""Refrigerator"", ""Hammock"", ""Host greets you"", ""Wifi"", ""Dryer"", ""Essentials"", ""Heating"", ""Outdoor dining area"", ""First aid kit"", ""Shampoo"", ""Fire extinguisher"", ""High chair""]",,6,21,6.0,6.0,21.0,21.0,6.0,21.0,,t,0,0,0,0,2024-09-05,18,0,0,2013-02-26,2023-08-25,4.94,5.0,4.94,5.0,5.0,4.78,4.78,0363 9611 7834 EC7F E5BB,f,1,1,0,0,0.13
58,14665451,https://www.airbnb.com/rooms/14665451,20240905174946,2024-09-05,previous scrape,Ship in the harbor of Amsterdam nearby the centre,"The berth of the ship is KNSM-island. A peaceful stay, surrounded by water, near the center. Public transportation will bring you within 10 min. to Central Station, Museum Quarter, Leidseplein or Albert Cuyp market.<br /><br />You will have the entire hold, galley and bathroom. The accommodation is suited for couples and families.<br /><br />It's possible to make a day trip with the ship in or outside the harbor.<br /><br />NOT AVAILABLE FROM HALF OF OCTOBER UNTIL THE 1TH OF MAY!",,https://a0.muscache.com/pictures/1cb744eb-cd23-4a50-99ee-6905966499dd.jpg,91115820,https://www.airbnb.com/users/show/91115820,Sjef,2016-08-21,"Amsterdam, Netherlands",,,,,f,https://a0.muscache.com/im/pictures/user/101a102f-0a44-4e3b-87de-a6f2552c0677.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/101a102f-0a44-4e3b-87de-a6f2552c0677.jpg?aki_policy=profile_x_medium,Zeeburg,1,1,"['email', 'phone']",t,f,,Oostelijk Havengebied - Indische Buurt,,52.37599,4.94638,Boat,Entire home/apt,5,,1 bath,,,"[""Paid parking on premises"", ""Smoke alarm"", ""Hangers"", ""Essentials"", ""Host greets you"", ""Heating"", ""First aid kit"", ""Pets allowed"", ""Paid parking off premises"", ""Hair dryer"", ""Indoor fireplace"", ""Carbon monoxide alarm"", ""Shampoo"", ""Wifi"", ""Fire extinguisher"", ""Kitchen"", ""Hot water""]",,2,7,2.0,2.0,7.0,7.0,2.0,7.0,,,0,0,0,0,2024-09-05,73,0,0,2016-09-05,2019-09-22,4.85,4.9,4.61,4.96,4.97,4.67,4.77,0363F2C671AE3409307A,f,1,1,0,0,0.75
108,15771785,https://www.airbnb.com/rooms/15771785,20240905174946,2024-09-05,city scrape,Party/Stag Night Guesthouse! 12 Guests! Parking X3,"130m2 on 2 floors for up to 12 guests!<br /><br />You will have the complete building to yourselves! <br /><br />Music can be played at night because the guesthouse is in a commercial area away from residential buildings!<br /><br />Roofed smoking garden!<br /><br />Excellent Wi-Fi, heating & shower - the water is always hot!<br /><br />18 min walk/7min cycle to centre+ 5min on FREE 24hr Ferry.<br /><br />FREE POOL TABLE & DART BOARD!<br /><br />PlayStation 3 & 55"" Smart TV!<br /><br />Free Parking X 3!<br /><br />Kitchen has all utensils & FREE tea & coffee!<br /><br />Rental Bikes available!","The north side is  much cheaper than the city to buy groceries, and just about everything else! There are many shops and supermarkets and coffee shops that offer much better prices than in the city which I recommend using.<br /><br />'Thrillist' have put Amsterdam North on number 3 in their list of the top 10 most 'hipster' neighborhoods on earth! It is surrounded by cool places to drink and party, and only a few minutes from the center. <br /><br />Amsterdam Noord is currently being built into a 'Smart City' and so many new buildings and streets are being built within a sustainable concept, and interesting individual looking building are popping up all around the North area.<br /><br />Here in the North side, it is possible to feel like a 'local', with local beers and organic food available in many local restaurants, bars and food/beer festivals. <br /><br />There are also 2 coffee-shops within walking distance. <br /><br />There is the largest flea market in Europe once a month at th",https://a0.muscache.com/pictures/miso/Hosting-15771785/original/22564bee-ab2b-47c8-92d7-9c78e44be991.jpeg,101993859,https://www.airbnb.com/users/show/101993859,Mark,2016-10-31,"Amsterdam, Netherlands","I have lived and worked around the world, learning the places and people as I go.

I have completely renovated and rebuilt my workshop into a guesthouse for groups to have a great time in Amsterdam.

I have made it as awesome as possible, and I always ensure that the place is extremely clean and comfortable for all guests to have a great time here in Amsterdam!
",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/de9b0da4-0089-4d6c-9754-6fedeb56e095.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/de9b0da4-0089-4d6c-9754-6fedeb56e095.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Amsterdam, Noord-Holland, Netherlands",Oud-Noord,,52.39591,4.9098,Entire guesthouse,Entire home/apt,12,1.5,1.5 baths,1.0,12.0,"[""Dishes and silverware"", ""Toaster"", ""Shower gel"", ""Coffee"", ""Smoking allowed"", ""Body soap"", ""Private backyard \u2013 Fully fenced"", ""Portable fans"", ""Dedicated workspace"", ""Private patio or balcony"", ""Pets allowed"", ""Coffee maker"", ""Exterior security cameras on property"", ""55 inch HDTV with standard cable, Amazon Prime Video, Apple TV, Chromecast, Disney+, Fire TV, HBO Max, Hulu, Netflix, premium cable, Roku"", ""Cooking basics"", ""Outdoor furniture"", ""Carbon monoxide alarm"", ""First aid kit"", ""Hot water"", ""Waterfront"", ""Smoke alarm"", ""Pool table"", ""Lockbox"", ""Iron"", ""Drying rack for clothing"", ""Cleaning products"", ""Ethernet connection"", ""Microwave"", ""Refrigerator"", ""Trash compactor"", ""Lake access"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Free washer \u2013 In building"", ""Portable air conditioning"", ""Oven"", ""Hair dryer"", ""Bikes"", ""Self check-in"", ""Dishwasher"", ""Hot water kettle"", ""Induction stove"", ""Hangers"", ""Wifi \u2013 14 Mbps"", ""Essentials"", ""Dining table"", ""Clothing storage: closet and dresser"", ""Books and reading material"", ""Free street parking"", ""Game console: PS3"", ""Heating"", ""Outdoor dining area"", ""Freezer"", ""Room-darkening shades"", ""Shampoo"", ""Fire extinguisher"", ""Private entrance"", ""Kitchen"", ""Bed linens"", ""Baking sheet""]",$375.00,3,1125,2.0,3.0,10.0,1125.0,3.0,1119.8,,t,10,19,39,177,2024-09-05,311,56,5,2017-01-29,2024-09-02,4.85,4.78,4.59,4.88,4.95,4.46,4.56,Exempt,f,1,1,0,0,3.36
118,23219350,https://www.airbnb.com/rooms/23219350,20240905174946,2024-09-05,city scrape,Cozy home & rooftop near center (6 adults& 2 kids),"Cozy apartment on the top floor of a typical late 1800s building in Amsterdam's lively neighborhood De Pijp, overlooking the beautiful Sarphatipark. Quiet, light, and very private for this area's standards because of its location, with a rooftop terrace. Beware of the STEEP stairs, though - my place is very comfy once inside, but you need to be rather fit and brave to haul your luggage upstairs. Also, note that Dutch houses were not built for hot weather and typically have no A/C.","De Pijp is one of Amsterdam's hippest neighborhoods, with the highest density of stops, bars, and restaurants per square meter, plus the largest permanent street market right around the corner. You really don't have to leave the neighborhood; I seldom do. However, if you must visit Amsterdam's touristy highlights, they are all within reach. You can walk, bike or use public transport to any of them within 20 minutes.",https://a0.muscache.com/pictures/294945c4-7103-46de-90ef-b0b0dd6fb21f.jpg,6973542,https://www.airbnb.com/users/show/6973542,Stefanie,2013-06-18,"Amsterdam, Netherlands","Born and raised in Amsterdam, I set out to explore the world at a young age. Over the past four decades I have traveled to over thirty countries, and have lived in three of those. Currently, I am back at my habitat Amsterdam, where I am working as a self-employed co-creator (thecocreatorscom) and raising my three sons (13, 9, and 3 years old). Since 2021 I am also the co-ordinator of Wijkcentrum De Pijp, helping people improve our hood.",within a day,70%,75%,t,https://a0.muscache.com/im/pictures/user/620b08fe-0b1d-41d0-b4a8-7c79aee6068e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/620b08fe-0b1d-41d0-b4a8-7c79aee6068e.jpg?aki_policy=profile_x_medium,De Pijp,1,1,"['email', 'phone', 'work_email']",t,t,"Amsterdam, Noord-Holland, Netherlands",De Pijp - Rivierenbuurt,,52.355507250063525,4.897487207923278,Entire rental unit,Entire home/apt,6,2.0,2 baths,2.0,2.0,"[""Dishes and silverware"", ""Washer"", ""Coffee maker"", ""Patio or balcony"", ""Outdoor furniture"", ""Cooking basics"", ""50 inch HDTV with Chromecast"", ""Hot water"", ""Smoke alarm"", ""Stove"", ""Lockbox"", ""Refrigerator"", ""Extra pillows and blankets"", ""Park view"", ""Oven"", ""Luggage dropoff allowed"", ""Children\u2019s books and toys"", ""Self check-in"", ""Wifi"", ""Dryer"", ""Dishwasher"", ""Hangers"", ""Essentials"", ""Heating"", ""Pack \u2019n play/Travel crib"", ""Shampoo"", ""Fire extinguisher"", ""Kitchen"", ""Bed linens""]",$264.00,4,1125,1.0,4.0,1125.0,1125.0,2.7,1125.0,,t,5,14,22,37,2024-09-05,29,16,1,2018-05-05,2024-08-18,4.83,4.79,4.79,4.9,4.97,4.93,4.55,0363 7A44 344B 08D9 E8D9,f,1,1,0,0,0.38
125,769183005883873444,https://www.airbnb.com/rooms/769183005883873444,20240905174946,2024-09-05,city scrape,"Nice family house at the canal, no groups accepted","We live in a lovely house in Amsterdam North, a highly desirable and trendy area of the city. Its prime location is close to the city center and popular neighborhoods like NDSM, as well as restaurants, parks, and a cinema.<br /><br />The house spans three floors and features three spacious bedrooms. It's particularly well-suited for families with children, to make them feel at home.<br /><br />At the top of the house, there's a terrace offering fantastic views. Please note, we do not accept groups.",,https://a0.muscache.com/pictures/miso/Hosting-769183005883873444/original/99cfe27b-5aa3-4572-be5a-c2d3582af04f.jpeg,21451385,https://www.airbnb.com/users/show/21451385,Itziar,2014-09-17,"Amsterdam, Netherlands",,within a day,75%,100%,f,https://a0.muscache.com/im/users/21451385/profile_pic/1410982967/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/21451385/profile_pic/1410982967/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Oud-Noord,,52.3922806,4.9069311,Entire home,Entire home/apt,5,2.5,2.5 baths,3.0,3.0,"[""Dishes and silverware"", ""Boat slip"", ""Central heating"", ""Washer"", ""Dedicated workspace"", ""Private patio or balcony"", ""Outdoor furniture"", ""Cooking basics"", ""Miele stainless steel oven"", ""BBQ grill"", ""Hot water"", ""Smoke alarm"", ""Drying rack for clothing"", ""Cleaning products"", ""Radiant heating"", ""Exercise equipment: yoga mat"", ""Microwave"", ""Refrigerator"", ""Canal view"", ""Free parking on premises"", ""Bathtub"", ""Kayak"", ""Free dryer \u2013 In unit"", ""Hair dryer"", ""Wifi"", ""Dishwasher"", ""Hot water kettle"", ""Dining table"", ""Essentials"", ""Books and reading material"", ""TV"", ""Arcade games"", ""Outdoor dining area"", ""Freezer"", ""Private entrance"", ""Kitchen"", ""Bed linens""]",$389.00,5,31,5.0,5.0,31.0,31.0,5.0,31.0,,t,18,18,18,18,2024-09-05,1,1,1,2024-08-13,2024-08-13,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0363 7257 B5CB 6F0C 207C,f,1,1,0,0,1.0
149,1062838347526034008,https://www.airbnb.com/rooms/1062838347526034008,20240905174946,2024-09-06,previous scrape,Chic Gem in the city centre,"Welcome to the stylish experience at this centrally-located place, de Pijp! <br /><br />Discover a cozy 3-bedroom, 2-bathroom haven with abundant natural light and a unique split-level layout. <br /><br />Enjoy the prime location in the heart of De Pijp, just a stroll away from the beautiful canals, Rijksmuseum, and other hotspots. <br /><br />Explore nearby markets, shops, and cafes, and easily access public transport. <br /><br />Make your stay special in our light-filled and well-appointed space!","Nestled in the vibrant De Pijp neighbourhood, our apartment perfectly blends local charm and urban convenience. Known for its lively atmosphere, <br /><br />De Pijp boasts an eclectic mix of boutiques, cafes, and restaurants. Immerse yourself in the daily life of Amsterdam with the Ferdinand Bolstraat, Van Woustraat, and Ceintuurbaan just a 5-minute walk away. <br /><br />Explore the iconic Albert Cuyp market, discover hidden gems in the surrounding streets, and relish easy access to public transportation. With the picturesque canals, Rijksmuseum, and other hotspots within walking distance, our neighbourhood is the ideal base for an authentic Amsterdam experience.",https://a0.muscache.com/pictures/miso/Hosting-1062838347526034008/original/12235119-3fb7-4f7f-ab66-6f3065aed9fb.png,84692157,https://www.airbnb.com/users/show/84692157,Bas,2016-07-19,"Hilversum, Netherlands",,,,0%,f,https://a0.muscache.com/im/pictures/user/e88d0b20-433c-47ef-b310-a0dcd52ab125.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e88d0b20-433c-47ef-b310-a0dcd52ab125.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Amsterdam, Noord-Holland, Netherlands",De Pijp - Rivierenbuurt,,52.35794,4.89628,Entire home,Entire home/apt,6,,2 baths,3.0,,"[""Air conditioning"", ""Paid parking on premises"", ""Smoke alarm"", ""Washer"", ""TV"", ""Pets allowed"", ""Carbon monoxide alarm"", ""Wifi"", ""Fire extinguisher"", ""Kitchen""]",,3,365,3.0,3.0,365.0,365.0,3.0,365.0,,t,0,0,0,0,2024-09-06,0,0,0,,,,,,,,,,03630E6A62723C359FDA,f,1,1,0,0,
173,764502697368192722,https://www.airbnb.com/rooms/764502697368192722,20240905174946,2024-09-05,city scrape,Spacious groundfloor family home,"This family home is situated in the middle of the Pijp, which makes it a good place to explore the city from. The house is recently renovated and has 1 master bedroom, three children bedrooms and one spare room. The living room is very spacious and cosy, with an open well equipped kitchen.  Rijksmuseum, Albert Cuyp market, tons of restaurants & bars are on walking distance!",,https://a0.muscache.com/pictures/miso/Hosting-764502697368192722/original/d5d68e8c-83aa-4375-8334-37c7ff080f33.jpeg,10659488,https://www.airbnb.com/users/show/10659488,Kyra,2013-12-16,"Amsterdam, Netherlands",We are a married couple with a little daughter and love to travel. We both have our own companies in Amsterdam (in sustainable transportation and veterinary care) and are out in our vibrant neighboorhood in our spare time!,a few days or more,0%,11%,f,https://a0.muscache.com/im/users/10659488/profile_pic/1397162705/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/10659488/profile_pic/1397162705/original.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone', 'work_email']",t,t,,De Pijp - Rivierenbuurt,,52.34944,4.88906,Entire home,Entire home/apt,5,3.0,3 baths,3.0,1.0,"[""Smoke alarm"", ""Washer"", ""TV"", ""Wifi"", ""Kitchen""]",$375.00,4,365,4.0,4.0,365.0,365.0,4.0,365.0,,t,13,39,69,70,2024-09-05,3,2,0,2023-04-29,2024-05-12,5.0,5.0,4.0,5.0,5.0,5.0,5.0,0363 00DD 3820 6693 BF11,f,1,1,0,0,0.18
194,52894862,https://www.airbnb.com/rooms/52894862,20240905174946,2024-09-06,previous scrape,"Spacious family home, 15min to center free parking","A unique place for Amsterdam standards. At this place you'll find yourself in best of both worlds: the tranquility and nature of cosy Dutch surroundings and the center of Amsterdam just 15 minutes away. <br /><br />A modern house (2015) with a sunny garden, which is unique in AMS. You're literally right in the middle of the wonderful Dutch countryside and historic center.<br /><br />Equiped with a modern luxury kitchen and bathroom. Right next to playground, park and shopping center and various bars and restaurants",,https://a0.muscache.com/pictures/miso/Hosting-52894862/original/51fda1e9-639d-44d8-87d1-32729dde667a.jpeg,3613750,https://www.airbnb.com/users/show/3613750,Pieter,2012-09-19,"Amsterdam, Netherlands","I'm from Amsterdam and I'm the left one on the picture. ;-) I like to travel and stayed alot already in different Airbnb's around the world. Before I did a lot of home swapping with this house, but as that's a bit difficult sometimes I'm trying to rent my house through Airbnb now.",,,,f,https://a0.muscache.com/im/pictures/user/a610cd9b-f911-4351-bfca-8503ecda5e25.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/a610cd9b-f911-4351-bfca-8503ecda5e25.jpg?aki_policy=profile_x_medium,,1,4,"['email', 'phone']",t,t,,Noord-West,,52.40365,4.91532,Entire townhouse,Entire home/apt,5,,1.5 baths,3.0,,"[""Washer"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""BBQ grill"", ""Hot water"", ""Smoke alarm"", ""Lockbox"", ""Iron"", ""Resort access"", ""Free parking on premises"", ""Hair dryer"", ""EV charger"", ""Self check-in"", ""Wifi"", ""TV"", ""Fire pit"", ""Outdoor dining area"", ""First aid kit"", ""Kitchen""]",,3,365,3.0,3.0,365.0,365.0,3.0,365.0,,t,0,0,0,0,2024-09-06,8,0,0,2021-11-05,2022-11-13,4.63,4.75,4.63,5.0,4.63,4.13,4.5,0363 A991 B06D 2872 CEBA,f,1,1,0,0,0.23
